,wind_strength,Run,Extinguished,On Fire,Step
178,12.631578947368421,178,10,9,4
179,12.631578947368421,179,8,7,4
180,14.210526315789474,180,9,8,4
181,14.210526315789474,181,13,12,5
182,14.210526315789474,182,9,8,5
183,14.210526315789474,183,10,9,4
184,14.210526315789474,184,8,7,5
185,14.210526315789474,185,11,10,5
186,14.210526315789474,186,12,11,5
187,14.210526315789474,187,12,11,5
188,14.210526315789474,188,10,9,4
189,14.210526315789474,189,8,7,5
190,14.210526315789474,190,10,9,4
191,14.210526315789474,191,8,7,4
192,14.210526315789474,192,9,8,4
193,14.210526315789474,193,8,7,3
194,14.210526315789474,194,8,7,3
195,14.210526315789474,195,11,10,5
196,14.210526315789474,196,9,8,4
197,14.210526315789474,197,10,9,4
198,14.210526315789474,198,8,7,5
199,14.210526315789474,199,11,10,4
200,15.789473684210527,200,10,9,4
201,15.789473684210527,201,8,7,4
202,15.789473684210527,202,5,4,3
203,15.789473684210527,203,7,6,4
204,15.789473684210527,204,10,9,4
205,15.789473684210527,205,8,7,4
206,15.789473684210527,206,9,8,4
207,15.789473684210527,207,8,7,4
208,15.789473684210527,208,9,8,4
209,15.789473684210527,209,5,4,3
210,15.789473684210527,210,5,4,3
211,15.789473684210527,211,10,9,4
212,15.789473684210527,212,5,4,3
213,15.789473684210527,213,10,9,4
214,15.789473684210527,214,9,8,4
215,15.789473684210527,215,10,9,4
216,15.789473684210527,216,9,8,4
217,15.789473684210527,217,9,8,4
218,15.789473684210527,218,9,8,4
219,15.789473684210527,219,7,6,4
220,17.36842105263158,220,9,8,4
221,17.36842105263158,221,10,9,4
222,17.36842105263158,222,9,8,4
223,17.36842105263158,223,7,6,4
224,17.36842105263158,224,10,9,4
225,17.36842105263158,225,10,9,4
226,17.36842105263158,226,8,7,4
227,17.36842105263158,227,10,9,4
228,17.36842105263158,228,5,4,3
229,17.36842105263158,229,10,9,4
230,17.36842105263158,230,10,9,4
231,17.36842105263158,231,7,6,4
232,17.36842105263158,232,8,7,4
233,17.36842105263158,233,7,6,4
234,17.36842105263158,234,7,6,4
235,17.36842105263158,235,7,6,4
236,17.36842105263158,236,8,7,4
237,17.36842105263158,237,6,5,4
238,17.36842105263158,238,10,9,4
239,17.36842105263158,239,9,8,4
240,18.94736842105263,240,8,7,4
241,18.94736842105263,241,8,7,4
242,18.94736842105263,242,9,8,4
243,18.94736842105263,243,7,6,4
244,18.94736842105263,244,6,5,4
245,18.94736842105263,245,8,7,4
246,18.94736842105263,246,8,7,4
247,18.94736842105263,247,8,7,4
248,18.94736842105263,248,5,4,3
249,18.94736842105263,249,6,5,4
250,18.94736842105263,250,8,7,4
251,18.94736842105263,251,10,9,4
252,18.94736842105263,252,9,8,4
253,18.94736842105263,253,5,4,3
254,18.94736842105263,254,10,9,4
255,18.94736842105263,255,5,4,3
256,18.94736842105263,256,7,6,4
257,18.94736842105263,257,10,9,4
258,18.94736842105263,258,7,6,4
259,18.94736842105263,259,7,6,4
260,20.526315789473685,260,4,3,2
261,20.526315789473685,261,9,8,4
262,20.526315789473685,262,4,3,2
263,20.526315789473685,263,4,3,2
264,20.526315789473685,264,4,3,2
265,20.526315789473685,265,9,8,4
266,20.526315789473685,266,9,8,4
267,20.526315789473685,267,9,8,4
268,20.526315789473685,268,8,7,4
269,20.526315789473685,269,4,3,2
270,20.526315789473685,270,4,3,2
271,20.526315789473685,271,9,8,4
272,20.526315789473685,272,9,8,4
273,20.526315789473685,273,4,3,2
274,20.526315789473685,274,4,3,2
275,20.526315789473685,275,9,8,4
276,20.526315789473685,276,4,3,2
277,20.526315789473685,277,9,8,4
278,20.526315789473685,278,4,3,2
279,20.526315789473685,279,8,7,4
280,22.105263157894736,280,9,8,4
281,22.105263157894736,281,4,3,2
282,22.105263157894736,282,9,8,4
283,22.105263157894736,283,8,7,4
284,22.105263157894736,284,7,6,4
285,22.105263157894736,285,9,8,4
286,22.105263157894736,286,4,3,2
287,22.105263157894736,287,8,7,4
288,22.105263157894736,288,7,6,4
