,truck_max_speed,Run,Extinguished,On Fire,Step
377,8,377,360,0.9990909090906411,129
378,8,378,304,0.9990909090906411,136
379,8,379,357,0.9993939393936713,137
380,8,380,442,0.9993939393936713,145
381,8,381,450,0.9996969696967014,144
382,8,382,377,0.9997979797977115,145
383,8,383,350,0.9996969696967014,137
384,8,384,336,0.9997979797977115,136
385,8,385,225,0.9997979797977115,153
386,8,386,278,0.9993939393936713,149
387,8,387,319,0.9993939393936713,135
388,8,388,368,0.9994949494946813,141
389,8,389,305,0.9992929292926612,144
390,8,390,424,0.9989898989896311,142
391,8,391,301,0.9993939393936713,133
392,8,392,289,0.9991919191916512,145
393,8,393,263,0.9994949494946813,140
394,8,394,423,0.9989898989896311,145
395,8,395,310,0.9991919191916512,130
396,8,396,515,0.9995959595956914,139
397,8,397,408,0.9995959595956914,139
398,8,398,334,0.998888888888621,142
399,8,399,354,0.9995959595956914,147
400,9,400,218,0.9997979797977115,137
401,9,401,477,0.9994949494946813,143
402,9,402,422,0.9991919191916512,148
403,9,403,285,0.9993939393936713,139
404,9,404,399,0.9995959595956914,138
405,9,405,360,0.9995959595956914,148
406,9,406,441,0.9991919191916512,140
407,9,407,323,0.9995959595956914,145
408,9,408,289,0.9993939393936713,137
409,9,409,382,0.9993939393936713,133
410,9,410,383,0.9995959595956914,141
411,9,411,498,0.9994949494946813,146
412,9,412,374,0.9994949494946813,153
413,9,413,345,0.9994949494946813,139
414,9,414,285,0.9992929292926612,138
415,9,415,425,0.9991919191916512,142
416,9,416,437,0.9990909090906411,132
417,9,417,418,0.9992929292926612,132
418,9,418,398,0.9990909090906411,138
419,9,419,427,0.9997979797977115,139
420,9,420,389,0.9992929292926612,136
421,9,421,523,0.9995959595956914,141
422,9,422,339,0.998888888888621,132
423,9,423,200,0.9992929292926612,148
424,9,424,473,0.9994949494946813,148
425,9,425,331,0.9995959595956914,130
426,9,426,464,0.9994949494946813,144
427,9,427,425,0.9994949494946813,135
428,9,428,376,0.9991919191916512,149
429,9,429,429,0.9998989898987215,141
430,9,430,325,0.9994949494946813,142
431,9,431,322,0.9997979797977115,135
432,9,432,358,0.9992929292926612,138
433,9,433,495,0.9997979797977115,135
434,9,434,408,0.9995959595956914,141
435,9,435,383,0.9995959595956914,136
436,9,436,356,0.9995959595956914,138
437,9,437,357,0.9990909090906411,143
438,9,438,542,0.9996969696967014,137
439,9,439,402,0.9997979797977115,149
